week,team_id,team,overall_eff,off_eff,def_eff,school,conference,color,logo
2,61,Georgia,97.2,91,95.9,Georgia,SEC,#CC0000,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
2,30,USC,96.4,99.3,71.6,USC,Pac-12,#ffc72c,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png
2,130,Michigan,95.3,89.9,92.1,Michigan,Big Ten,#00274c,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
2,333,Alabama,93,85.7,89.1,Alabama,SEC,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2,344,Mississippi State,91.1,74.3,94.9,Mississippi State,SEC,#762123,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png
2,2306,Kansas State,89,51,94.7,Kansas State,Big 12,#633194,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
2,2305,Kansas,88.9,96.5,47.9,Kansas,Big 12,#0022B4,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
2,276,Marshall,88.7,69.9,95.5,Marshall,Sun Belt,#00ae42,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png
2,2633,Tennessee,88.4,78.8,85.4,Tennessee,SEC,#EE9627,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
2,145,Ole Miss,88.3,79.9,82.5,Ole Miss,SEC,#001148,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png
2,256,James Madison,88,75.8,91,James Madison,Sun Belt,#450084,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png
2,183,Syracuse,87.7,82.2,76.4,Syracuse,ACC,#F37321,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png
2,194,Ohio State,87,93.7,73.7,Ohio State,Big Ten,#DE3121,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png
2,251,Texas,86.8,74.6,85.4,Texas,Big 12,#EE7524,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png
2,6,South Alabama,86.4,68.1,87.5,South Alabama,Sun Belt,#003E7E,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png
2,135,Minnesota,86.1,81.7,84.6,Minnesota,Big Ten,#981a31,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
2,252,BYU,85.9,82.9,83.1,BYU,FBS Independents,#001E4C,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
2,213,Penn State,84.5,78.5,77.4,Penn State,Big Ten,#00265D,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
2,52,Florida State,84.3,83.1,48.9,Florida State,ACC,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
2,120,Maryland,84.2,90.7,59.2,Maryland,Big Ten,#D5002B,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png
2,96,Kentucky,83.6,51.7,94.7,Kentucky,SEC,#005DAA,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
2,2005,Air Force,83,67.6,86.7,Air Force,Mountain West,#004a7b,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
2,264,Washington,82.7,91.6,61.3,Washington,Pac-12,#2B2F64,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
2,2628,TCU,81.9,80.6,65.8,TCU,Big 12,#3C377D,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
2,239,Baylor,81.2,72.5,70.3,Baylor,Big 12,#004834,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png
2,150,Duke,80.9,87.6,66.5,Duke,ACC,#001A57,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
2,127,Michigan State,80.7,64.9,83.6,Michigan State,Big Ten,#18453B,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png
2,2567,SMU,80.7,82.9,68,SMU,American Athletic,#E32F38,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2,154,Wake Forest,79.9,59.7,89.9,Wake Forest,ACC,#9E7E38,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png
2,99,LSU,79.8,84.9,75.4,LSU,SEC,#fdd023,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png
2,204,Oregon State,78.9,78.6,67,Oregon State,Pac-12,#c34500,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png
2,8,Arkansas,78.6,79.8,66.8,Arkansas,SEC,#9c1831,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
2,197,Oklahoma State,78.1,77.6,59.9,Oklahoma State,Big 12,#FF6500,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png
2,66,Iowa State,78.1,68.9,81,Iowa State,Big 12,#660015,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
2,254,Utah,77.1,79.2,56.1,Utah,Pac-12,#890012,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png
2,228,Clemson,76.7,70.1,68.6,Clemson,ACC,#F66733,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
2,2390,Miami,75.7,80.7,45.4,Miami,ACC,#004325,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
2,2655,Tulane,75.1,58.7,69.9,Tulane,American Athletic,#005837,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
2,2132,Cincinnati,74.7,55.8,76.8,Cincinnati,American Athletic,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
2,164,Rutgers,72.6,59.3,73.9,Rutgers,Big Ten,#d21034,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png
2,152,NC State,72.1,39.8,79.6,NC State,ACC,#EF1216,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png
2,248,Houston,71.3,39.9,82.2,Houston,American Athletic,#C90822,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
2,201,Oklahoma,70.1,75.5,56.7,Oklahoma,Big 12,#7b0000,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png
